Bokföringsdatum;Valutadatum;Verifikationsnummer;Text;Belopp;Saldo
2025-05-19;2025-05-17;5484302873;ICA SUPERMAR/25-05-16;-268.790;6466.000
2025-05-19;2025-05-17;5484724984;RESTAURANG F/25-05-16;-180.000;6734.790
2025-05-19;2025-05-17;5484724978;RESTAURANG F/25-05-16;-35.000;6914.790
2025-05-16;2025-05-16;5484296880;BÖDA HAMNS C/25-05-15;-7.000;6949.790
2025-05-16;2025-05-16;5484250966;ARONTORPS KR/25-05-15;-159.000;6956.790
2025-05-16;2025-05-16;5490990004;PETER HENELL;3000.000;7115.790
2025-05-15;2025-05-15;5484840731;KALK KÖK O B/25-05-14;-249.000;4115.790
2025-05-15;2025-05-15;5484408835;ICA NARA BOD/25-05-14;-231.700;4364.790
2025-05-15;2025-05-15;5484705549;SYSTEMBOLAGE/25-05-15;-903.500;4596.490
2025-05-15;2025-05-15;5490990004;PETER HENELL;3000.000;5499.990
2025-05-14;2025-05-14;5484586987;OKQ8        /25-05-13;-652.030;2499.990
2025-05-14;2025-05-14;5484371986;ICA NARA BOD/25-05-13;-41.800;3152.020
2025-05-13;2025-05-13;5484816369;OKQ8        /25-05-10;-554.080;3193.820
2025-05-13;2025-05-13;5484791463;OKQ8        /25-05-10;-402.000;3747.900
2025-05-13;2025-05-13;5484587373;ICA NARA BYX/25-05-12;-81.800;4149.900
2025-05-12;2025-05-12;5484277251;GUNTORPS HER/25-05-11;-1495.000;4231.700
2025-05-12;2025-05-12;5484840784;NATURBOKHAND/25-05-11;-319.000;5726.700
2025-05-12;2025-05-12;5484588835;ICA NARA BOD/25-05-11;-69.700;6045.700
2025-05-12;2025-05-12;5484252718;RUNSTENS PIZ/25-05-11;-163.000;6115.400
2025-05-12;2025-05-11;5484314418;ILANA RIMAS /25-05-10;-190.000;6278.400
2025-05-12;2025-05-11;5484287653;GAMLEBYS BAR/25-05-10;-110.000;6468.400
2025-05-12;2025-05-11;5484084774;ICA SUPERMAR/25-05-10;-9.950;6578.400
2025-05-12;2025-05-10;5484446103;DOWNTOWN CAM/25-05-09;-364.000;6588.350
2025-05-12;2025-05-10;5484446101;DOWNTOWN CAM/25-05-09;-364.000;6952.350
2025-05-12;2025-05-10;5484319742;ERTH HÖTORGS/25-05-09;-680.000;7316.350
2025-05-12;2025-05-10;5484198794;RESTAURANGSM/25-05-09;-292.950;7996.350
2025-05-12;2025-05-10;5484584046;SL          /25-05-09;-86.000;8289.300
2025-05-12;2025-05-10;5490990004;PETER HENELL;5000.000;8375.300
2025-05-09;2025-05-09;5484179233;COOR POSTNOR/25-05-08;-122.000;3375.300
2025-05-09;2025-05-09;5484477837;COOP KONSUM /25-05-08;-38.500;3497.300
2025-05-09;2025-05-09;5484428258;SL          /25-05-08;-86.000;3535.800
2025-05-09;2025-05-09;5484102011;RESTAURANG G/25-05-08;-176.000;3621.800
2025-05-09;2025-05-09;5484102010;RESTAURANG G/25-05-08;-346.000;3797.800
2025-05-08;2025-05-08;5484878862;ALEWALDS QUA/25-05-06;-746.000;4143.800
2025-05-08;2025-05-08;5484831853;SL          /25-05-06;-86.000;4889.800
2025-05-08;2025-05-08;5484361731;RESTAURANGSM/25-05-07;-135.000;4975.800
2025-05-07;2025-05-07;5484403652;SUSHI KOYAMA/25-05-06;-150.000;5110.800
2025-05-07;2025-05-07;5484311606;ALEWALDS SPO/25-05-06;-977.000;5260.800
2025-05-07;2025-05-07;5484306144;KRONANS APOT/25-05-06;-147.800;6237.800
2025-05-07;2025-05-07;5484289768;RESTAURANGSM/25-05-06;-135.000;6385.600
2025-05-07;2025-05-07;5484803558;COOP KONSUM /25-05-06;-17.950;6520.600
2025-05-06;2025-05-06;5484245247;RESTAURANGSM/25-05-05;-135.000;6538.550
2025-05-06;2025-05-06;5490990004;PETER HENELL;5000.000;6673.550
2025-05-05;2025-05-04;5484634828;PIZZERIA RUN/25-05-03;-120.000;1673.550
2025-05-05;2025-05-04;5484366115;ICA NARA BER/25-05-03;-25.000;1793.550
2025-05-02;2025-05-02;5484132522;OOB ARNINGE /25-04-30;-354.000;1818.550
2025-05-02;2025-05-01;5484832184;SL          /25-04-29;-86.000;2172.550
2025-05-02;2025-05-01;5484159457;STORA COOP A/25-04-30;-1112.750;2258.550
2025-05-02;2025-05-01;5484781486;COOP KONSUM /25-04-30;-98.950;3371.300
2025-04-30;2025-04-30;5484330666;ASPLUND PA T/25-04-29;-135.000;3470.250
2025-04-29;2025-04-29;5484558382;COOP KONSUM /25-04-28;-115.150;3605.250
2025-04-28;2025-04-27;5484395790;COOP KONSUM /25-04-26;-217.800;3720.400
2025-04-28;2025-04-26;5484370162;RESTAURANG S/25-04-25;-135.000;3938.200
2025-04-25;2025-04-25;5484824358;SL          /25-04-23;-86.000;4073.200
2025-04-25;2025-04-25;5484074428;ICA NARA BER/25-04-24;-30.000;4159.200
2025-04-24;2025-04-24;5484269921;KRONANS APOT/25-04-23;-51.950;4189.200
2025-04-24;2025-04-24;5484772901;COOP KONSUM /25-04-23;-349.590;4241.150
2025-04-23;2025-04-23;5484264619;OKQ8        /25-04-20;-676.030;4590.740
2025-04-23;2025-04-23;5484231048;OKQ8        /25-04-20;-175.000;5266.770
2025-04-22;2025-04-19;5484474762;SL          /25-04-18;-43.000;5441.770
2025-04-22;2025-04-19;5484265440;BERGSHAMRA P/25-04-18;-148.000;5484.770
2025-04-22;2025-04-19;5484254185;GUNNARSONS S/25-04-18;-90.000;5632.770
2025-04-22;2025-04-18;5484734763;RESTAURANG S/25-04-17;-135.000;5722.770
2025-04-22;2025-04-18;5484283957;COOP KONSUM /25-04-17;-133.140;5857.770
2025-04-22;2025-04-18;5484221748;SL          /25-04-17;-86.000;5990.910
2025-04-22;2025-04-18;5490990789;46707815940;1000.000;6076.910
2025-04-22;2025-04-18;5490990004;PETER HENELL;3000.000;5076.910
2025-04-22;2025-04-18;5490990789;46705438947;800.000;2076.910
2025-04-17;2025-04-17;5484620468;SYSTEMBOLAGE/25-04-16;-1013.900;1276.910
2025-04-17;2025-04-17;5484394849;SL          /25-04-16;-86.000;2290.810
2025-04-17;2025-04-17;5490990789;46720388884;250.000;2376.810
2025-04-16;2025-04-16;5484292380;PRESSBYRAN 4/25-04-15;-15.000;2126.810
2025-04-16;2025-04-16;5484122577;COOR POSTNOR/25-04-15;-122.000;2141.810
2025-04-16;2025-04-16;5484221813;COOP KONSUM /25-04-15;-223.330;2263.810
2025-04-16;2025-04-16;5484166074;SL          /25-04-15;-86.000;2487.140
2025-04-14;2025-04-14;5484197933;ICA NARA BER/25-04-13;-15.000;2573.140
2025-04-14;2025-04-14;5484114473;COOP KONSUM /25-04-13;-119.350;2588.140
2025-04-14;2025-04-13;5484436727;JULA SVERIGE/25-04-12;-428.800;2707.490
2025-04-14;2025-04-13;5484801361;PIZZERIA RUN/25-04-12;-140.000;3136.290
2025-04-14;2025-04-13;5484513040;ICA NARA BER/25-04-12;-51.900;3276.290
2025-04-14;2025-04-13;5484324591;JYSK HAGGVIK/25-04-12;-225.000;3328.190
2025-04-14;2025-04-12;5484460079;THE BISHOPS /25-04-11;-164.000;3553.190
2025-04-14;2025-04-12;5484460059;THE BISHOPS /25-04-11;-81.000;3717.190
2025-04-14;2025-04-12;5484572941;RESTAURANG S/25-04-11;-135.000;3798.190
2025-04-14;2025-04-12;5484125710;COOP KONSUM /25-04-11;-291.700;3933.190
2025-04-14;2025-04-12;5484063968;SL          /25-04-11;-86.000;4224.890
2025-04-11;2025-04-11;5484129550;ICA NARA BER/25-04-10;-15.000;4310.890
2025-04-10;2025-04-10;5484177005;COOR POSTNOR/25-04-09;-122.000;4325.890
2025-04-10;2025-04-10;5484616453;ICA NARA BER/25-04-09;-115.700;4447.890
2025-04-10;2025-04-10;5484459805;SL          /25-04-09;-86.000;4563.590
2025-04-09;2025-04-09;5484430955;COOP KONSUM /25-04-08;-25.000;4649.590
2025-04-09;2025-04-09;5484381710;SL          /25-04-08;-86.000;4674.590
2025-04-07;2025-04-07;5484129570;ICA NARA BER/25-04-06;-146.300;4760.590
2025-04-07;2025-04-07;5484048777;COOP KONSUM /25-04-06;-215.020;4906.890
2025-04-07;2025-04-07;5490990789;STRIPE TECHN;-2780.000;5121.910
2025-04-07;2025-04-07;5490990004;PETER HENELL;5000.000;7901.910
2025-04-07;2025-04-05;5484278043;RESTAURANG S/25-04-04;-135.000;2901.910
2025-04-07;2025-04-05;5484167869;BILIA HAGA N/25-04-04;-2124.000;3036.910
2025-04-07;2025-04-05;5484709348;COOP KONSUM /25-04-04;-40.190;5160.910
2025-04-04;2025-04-04;5484869540;COOP KONSUM /25-04-03;-190.180;5201.100
2025-04-04;2025-04-04;5484869511;COOP KONSUM /25-04-03;-52.950;5391.280
2025-04-04;2025-04-04;5490990004;PETER HENELL;3000.000;5444.230
2025-04-03;2025-04-03;5484384650;COOP KONSUM /25-04-02;-37.500;2444.230
2025-04-03;2025-04-03;5484337148;SL          /25-04-02;-86.000;2481.730
2025-04-03;2025-04-03;5484737961;ASPLUND PA T/25-04-02;-135.000;2567.730
2025-04-02;2025-04-02;5484183262;SL          /25-04-01;-86.000;2702.730
2025-03-31;2025-03-31;5490990789;PROCESSED BY;110.000;2788.730
2025-03-31;2025-03-30;5484822318;COOP KONSUM /25-03-29;-100.140;2678.730
2025-03-31;2025-03-29;5484824421;RESTAURANG S/25-03-28;-135.000;2778.870
2025-03-31;2025-03-29;5484374162;COOP KONSUM /25-03-28;-85.130;2913.870
2025-03-28;2025-03-28;5484049905;COOP KONSUM /25-03-27;-272.150;2999.000
2025-03-26;2025-03-26;5484512267;COOR POSTNOR/25-03-25;-122.000;3271.150
2025-03-26;2025-03-26;5484524610;SL          /25-03-25;-86.000;3393.150
2025-03-24;2025-03-23;5484243244;COOP KONSUM /25-03-22;-427.360;3479.150
2025-03-24;2025-03-23;5490990004;PETER HENELL;3000.000;3906.510
2025-03-24;2025-03-22;5484764477;RESTAURANG S/25-03-21;-135.000;906.510
2025-03-24;2025-03-22;5484674907;OKQ8        /25-03-21;-332.000;1041.510
2025-03-24;2025-03-22;5484340044;COOP KONSUM /25-03-21;-78.850;1373.510
2025-03-24;2025-03-22;5484340026;COOP KONSUM /25-03-21;-15.500;1452.360
2025-03-21;2025-03-21;5484647081;RESTAURANG S/25-03-20;-135.000;1467.860
2025-03-21;2025-03-21;5484275252;COOP KONSUM /25-03-20;-109.540;1602.860
2025-03-20;2025-03-20;5484056016;COOR POSTNOR/25-03-19;-122.000;1712.400
2025-03-20;2025-03-20;5484167085;SL          /25-03-19;-86.000;1834.400
2025-03-19;2025-03-19;5484438298;ICA NARA BER/25-03-18;-30.000;1920.400
2025-03-18;2025-03-18;5490990789;PROCESSED BY;-630.410;1950.400
2025-03-17;2025-03-17;5490990789;46702984673;-400.000;2580.810
2025-03-17;2025-03-15;5484482420;RESTAURANG S/25-03-14;-135.000;2980.810
2025-03-17;2025-03-15;5484178417;ICA NARA BER/25-03-14;-35.900;3115.810
2025-03-17;2025-03-15;5484070899;COOP KONSUM /25-03-14;-358.150;3151.710
2025-03-13;2025-03-13;5484629392;COOR POSTNOR/25-03-12;-122.000;3509.860
2025-03-13;2025-03-13;5484791894;SL          /25-03-12;-86.000;3631.860
2025-03-12;2025-03-12;5484421812;APOTEKSGRUPP/25-03-11;-301.330;3717.860
2025-03-12;2025-03-12;5484068769;COOP KONSUM /25-03-11;-152.850;4019.190
2025-03-10;2025-03-08;5484025936;COOP KONSUM /25-03-07;-143.750;4172.040
2025-03-07;2025-03-07;5484150673;SYSTEMBOLAGE/25-03-06;-621.000;4315.790
2025-03-07;2025-03-07;5484687932;CERVERA SVEA/25-03-06;-490.000;4936.790
2025-03-07;2025-03-07;5484561548;ALEWALDS QUA/25-03-06;-998.000;5426.790
2025-03-07;2025-03-07;5484487405;FISKELÄGET  /25-03-06;-129.000;6424.790
2025-03-07;2025-03-07;5484306780;VARSAM      /25-03-06;-100.000;6553.790
2025-03-07;2025-03-07;5484288546;SL          /25-03-06;-43.000;6653.790
2025-03-07;2025-03-07;5484562123;SYSTEMBOLAGE/25-03-07;-1204.000;6696.790
2025-03-07;2025-03-07;5490990004;PETER HENELL;5000.000;7900.790
2025-03-06;2025-03-06;5484344563;ASPLUND PA T/25-03-05;-135.000;2900.790
2025-03-06;2025-03-06;5484756586;SL          /25-03-05;-86.000;3035.790
2025-03-05;2025-03-05;5484135778;OKQ8        /25-03-02;-732.140;3121.790
2025-03-05;2025-03-05;5484184664;COOP KONSUM /25-03-04;-189.500;3853.930
2025-03-04;2025-03-04;5484427614;ICA NARA BER/25-03-03;-92.400;4043.430
2025-03-03;2025-03-02;5484716790;COOP KONSUM /25-03-01;-274.130;4135.830
2025-03-03;2025-03-02;5490990004;PETER HENELL;3000.000;4409.960
2025-03-03;2025-03-01;5484664714;RESTAURANG S/25-02-28;-135.000;1409.960
2025-03-03;2025-03-01;5484234771;COOP KONSUM /25-02-28;-14.500;1544.960
2025-02-27;2025-02-27;5484460173;ASPLUND PA T/25-02-26;-135.000;1559.460
2025-02-27;2025-02-27;5484830605;SL          /25-02-26;-86.000;1694.460
2025-02-26;2025-02-26;5484803006;COOP KONSUM /25-02-25;-324.980;1780.460
2025-02-25;2025-02-25;5484203881;RESTAURANG S/25-02-24;-135.000;2105.440
2025-02-25;2025-02-25;5484732880;COOP KONSUM /25-02-24;-14.500;2240.440
2025-02-25;2025-02-25;5484687609;SL          /25-02-24;-43.000;2254.940
2025-02-25;2025-02-25;5484480861;DOWNTOWN CAM/25-02-24;-221.000;2297.940
2025-02-24;2025-02-22;5484843800;SYSTEMBOLAGE/25-02-21;-1363.200;2518.940
2025-02-24;2025-02-22;5484857819;ICA NARA BER/25-02-21;-87.900;3882.140
2025-02-20;2025-02-20;5484389422;COOR POSTNOR/25-02-19;-122.000;3970.040
2025-02-20;2025-02-20;5484779411;COOP KONSUM /25-02-19;-532.400;4092.040
2025-02-20;2025-02-20;5484733829;SL          /25-02-19;-86.000;4624.440
2025-02-19;2025-02-19;5490990004;PETER HENELL;3000.000;4710.440
2025-02-18;2025-02-18;5484669501;NEWPORT     /25-02-17;-442.520;1710.440
2025-02-18;2025-02-18;5484637062;FRYSHUSET EV/25-02-17;-40.000;2152.960
2025-02-18;2025-02-18;5484262297;COOP KONSUM /25-02-17;-122.400;2192.960
2025-02-17;2025-02-17;5484558584;SL          /25-02-16;-86.000;2315.360
2025-02-17;2025-02-17;5484300963;SYSTEMBOLAGE/25-02-17;-437.200;2401.360
2025-02-17;2025-02-17;5490990789;46707815940;-190.000;2838.560
2025-02-17;2025-02-16;5484233889;RESTAURANG S/25-02-15;-239.000;3028.560
2025-02-14;2025-02-14;5484810682;SL          /25-02-12;-43.000;3267.560
2025-02-14;2025-02-14;5484132302;ICA NARA BER/25-02-13;-231.500;3310.560
2025-02-13;2025-02-13;5484345932;COOR POSTNOR/25-02-12;-122.000;3542.060
